clip_file,topic,source_title,source_channel,source_url,source_start,source_end,editor_notes
01-what-happened-lindgren-destroys-bouchard.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Ryan Lindgren EJECTED After DESTROYING Evan Bouchard With Brutal Hit|USA vs Canada WorldChampionship,It's khuzaima,https://www.youtube.com/watch?v=2wGKXDQV8uE,9.4,13.4,
02-what-happened-bouchard-head-hit-worlds.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Bouchard Head Hit 🚨 Canada vs USA Drama at World Hockey Championship 😱 Evan Bouchard injury,TopReactions,https://www.youtube.com/watch?v=VzVwUmL1UJw,16.8,20.8,
03-what-happened-lindgren-ejected-huge-hit.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Ryan Lindgren Ejected After HUGEHit on Evan Bouchard in Quarterfinal Clash,Ali Info Tv,https://www.youtube.com/watch?v=LZ4rV7QqzeM,10.8,14.8,
04-what-happened-canada-usa-dangerous-hit.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Evan Bouchard | USA vs Canada Turns Heated After Lindgren's Dangerous Hit on Bouchard,Tameer Trending Tv,https://www.youtube.com/watch?v=tMKDo7TLcug,15.6,19.6,
05-hit-replay-lindgren-monster-hit.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Ryan Lindgren EJECTED After MONSTER Hit on Evan Bouchard 😱 | USA vs Canada,Tameer Trending Tv,https://www.youtube.com/watch?v=QIJDnJpxBD8,11.4,15.4,
06-hit-replay-lindgren-brutal-hit-iihf.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Ryan Lindgren EJECTED After Brutal Hit on Evan Bouchard 😱 | IIHF 2026 Hockey Drama,Global Flash 24,https://www.youtube.com/watch?v=XBxpYfq8lxg,13.4,17.4,
07-hit-replay-sports-scan-huge-hit.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Watch - Ryan Lindgren EJECTED After HUGE Hit on Evan Bouchard | Usa vs Canada World Championship,Sports Scan Production,https://www.youtube.com/watch?v=SZTXrWrYXdg,10.8,14.8,
08-context-final-update-huge-hit.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Watch - Ryan Lindgren EJECTED After HUGE Hit on Evan Bouchard | Usa vs Canada World Championship,The Final Update,https://www.youtube.com/watch?v=iEgsV1Wt5iU,13.0,17.012403,
09-context-iihf-recap-score-news-1.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,"IIHF MEN'S WORLD CHAMPIONSHIPS DAY 3 RECAP; ANALYSIS, SCORES, NEWS, AND MORE!!!",On The Fly,https://www.youtube.com/watch?v=-lImYMFx_Vs,501.2,505.204,
10-context-bouchard-slapshot-sportsnet.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,Evan Bouchard's Slapshot Blast Keeps Up The Pressure For Oilers,SPORTSNET,https://www.youtube.com/watch?v=Xdw-DrYRUb4,16.6,20.62,
11-oilers-playoff-ducks-game-5.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,"Ducks vs. Oilers | NHL Playoff Highlights | Game 5 | April 28, 2026",NHL,https://www.youtube.com/watch?v=zMwyzwkRi0k,125.8,129.82,
12-oilers-playoff-capitals-january.mp4,2026 05 29 evan bouchard knocked out by dirty hit at worlds,"NHL Highlights | Capitals vs. Oilers - January 24, 2026",SPORTSNET,https://www.youtube.com/watch?v=m2uGGihNIMA,124.6,128.60399999999998,
